Topic,Tweets,Date,Number
,@JN_Japanese @tp4_trynamkeit @TGCnews @k1wgp_pr @GlennKesslerWP @WGladstone @WPLGLocal10 @WTOPtraffic @mdpr_MAKEIT @mdpr_life @mdpr_gourmet,9/6/2017,10
,@WPLGLocal10,9/10/2017,10
,@WPLGLocal10 this rllllly pisses me off,12/7/2017 ,10
,Hola! Yo Trabajo con @WPLGLocal10 podemos usar esta foto?,9/10/2017 ,10
,@WPLGLocal10 it's beyond comprehension.,10/17/2017 ,10
,@WPLGLocal10 boardwalk*,9/10/2017 ,10
,The #AMA s on @WPLGLocal10 !,11/19/2017 ,10
,@WPLGLocal10,10/4/2017 ,10
,@WPLGLocal10,9/10/2017,10
,@WPLGLocal10 blows*,10/9/2017 ,10
,VERY UNPROFESSIONAL. @WPLGLocal10,10/31/2017 ,10
,@WPLGLocal10 ... Smart gotta take all the precautions ...,9/6/2017 ,10
,@WPLGLocal10 what about the toll plaza?,9/9/2017,10
,@BlissTabitha @WPLGLocal10,5/26/2017 ,10
,@WPLGLocal10 it's o. Harrison and 10th,9/10/2017 ,10
,@WPLGLocal10 woahhhh,5/12/2017 ,10
,@WPLGLocal10 Sadistic barbarian. #25thAmendmentNow,10/17/2017 ,10
,". @WPLGLocal10 Douglas Ross, a detective assigned to the warrants bureau, remains on active duty, per . @MiamiDadePD .",11/5/2017 ,10
,. @WPLGLocal10 Five of the eight kills were from Argentina. A sixth from Belgium and another from Germany.,11/1/2017 ,10
,Thx! @bendito_papi @WPLGLocal10,5/14/2017 ,10
,Charlie Brown! @WPLGLocal10,12/21/2017 ,10
,@RossPalombo @WPLGLocal10 Here we go  Russia,11/14/2017 ,10
,@WPLGLocal10 can you go fly your helicopter somewhere else? You are very annoying,9/5/2017 ,10
,"@Lauren_Southern @WPLGLocal10 Before any virtue points are claimed, who were the perpetrators and what motivated them?",8/19/2017,10
,@WPLGLocal10 This account is trash,10/26/2017 ,10
,#climatechange experts always freak us out! @WatchNewsON @WPLGLocal10,7/13/2017 ,10
,@WPLGLocal10 ehtb@,10/18/2017,10
,@WPLGLocal10 #impeach thedraftdodger,10/17/2017 ,10
,@ChristianWplg @WPLGLocal10,9/17/2017 ,10
,@maggiellorenz @WPLGLocal10 @EricaRakow,9/27/2017 ,10
,@WPLGLocal10 the canes are 6-0 and they played Syracuse not clemson,10/22/2017,10
,@chevalier__noir @WPLGLocal10 #HerToo,12/6/2017 ,10
,@WPLGLocal10 assholes.,10/2/2017 ,10
,@WPLGLocal10 Will u be carrying #COMEY testimony in its entirety?,6/5/2017,10
,@WPLGLocal10 get scoop!,10/30/2017 ,10
,@WPLGLocal10 why?,10/27/2017,10
,@LOUISAGUIRRE @WPLGLocal10,1/9/2018 ,10
time yes long year jail hope ll need stop years
,Bout time.,12/19/2017 ,11
,Lmfao!!!!! And the Titanic is the most admired ship of all time!!!!,12/27/2017 ,11
,It’s about time,2/1/2018 ,11
,about time,1/29/2018 ,11
,Bout dam time,7/7/2017,11
,"About time, get it done!!!",12/13/2017 ,11
,About what time?,10/28/2017,11
,About time.,11/18/2017 ,11
,About time!,5/9/2017 ,11
,Waste of time,6/15/2017 ,11
,'bout time,9/11/2017 ,11
,Bout time.,12/28/2017 ,11
,Waste of time and taxpayers mon ey,5/11/2017,11
,Time to retire,1/18/2018 ,11
,Well. About time.,9/8/2017 ,11
,Take time to cash in.,11/15/2017 ,11
,Time well spent..,9/18/2017 ,11
,3rd time a charm? sike,1/10/2018,11
,Time to go.,10/17/2017 ,11
,Time for #impeachTrump,7/2/2017 ,11
,Bout time. Bu bye,9/29/2017,11
,About f-ing time!,10/30/2017,11
,It's time for target practice?,10/7/2017 ,11
,Is there a time frame ?,12/12/2017 ,11
,"Dems, plenty time for DACA",1/21/2018,11
,Waste of time and effort,9/19/2017,11
,About time for Hillary to get what she deserves as well!!!,12/4/2017 ,11
,About time mehn!!!!,5/26/2017 ,11
,LOCK 'EM UP....bout time!,12/6/2017 ,11
,Time for an empanada,12/29/2017 ,11
,No TIME SERVED,12/4/2017 ,11
,WooHoo! 'Bout time!,7/27/2017 ,11
,About time,9/28/2017 ,11
,When will @Delta offer in flight on time flightS?,9/27/2017 ,11
,Bout time...,11/19/2017,11
,She had time to go out and get a custom hat and t-shirt,9/30/2017 ,11
,...it was about time!!!,5/9/2017 ,11
,only time before he murders humans as well to satisfy his sadistic urges,5/3/2017 ,11
,About time,6/16/2017 ,11
,Can we schedule a time?,10/2/2017 ,11
,Double that time and confiscate her assets.,11/16/2017 ,11
,There's a first time for everything.,9/13/2017 ,11
,It's about dang time! No pun intended.,2/1/2018 ,11
,They do this in Detroit all the time,11/13/2017 ,11
,It’s about time,2/1/2018 ,11
,It's time to #DumpTrump,9/10/2017 ,11
,Boo. Time to switch !,12/22/2017 ,11
,Penetrating trauma to the torso. Unknown condition at this time. Holmes FF transporting to HRMC.,10/19/2017,11
,"Well, it’s about time, knuck knuck, wooo wooo wooo",11/29/2017 ,11
,It is time,9/15/2017,11
,Time to fill up.,11/20/2017,11
,Its about time!,1/11/2018 ,11
,About time!!!,6/1/2017 ,11
,About time,6/11/2017 ,11
,About dang time.,11/9/2017 ,11
,Time flies Lynn,1/7/2018 ,11
,about time,12/14/2017 ,11
,time to panic !!!!!,9/16/2017 ,11
,"This is the first time everyone agrees, lock them up",11/16/2017 ,11
,About time,10/9/2017 ,11
,"So, at the time of such behavior was there no fire to be extinguished or a burning structure",11/16/2017 ,11
,Time to straighten those bullies out;ain’t that difficult!,12/5/2017,11
,"Waterfront property, time to sell.",6/21/2017 ,11
,No to eastern time zone!,1/25/2018 ,11
,About time someone investigated them,5/24/2017,11
,Well it's about time,10/20/2017 ,11
,It's time to dress for success,10/10/2017 ,11
,Can you forceably move him to time out? Please...,12/20/2017 ,11
,Jeopardy is on regular time but on MeTV.,11/13/2017 ,11
,Well time to clean up the ghetto,5/18/2017,11
,Oooph; what a waste of time,12/6/2017 ,11
,pray for the @NRA at this difficult time.,11/27/2017 ,11
,Not quite time for that yet,9/4/2017 ,11
,There is time for everything,9/11/2017 ,11
,Not the first time Tiger's gotten in trouble for wheeling.,5/29/2017 ,11
,What time was the rally?,9/5/2017 ,11
,Mueller time....,11/8/2017 ,11
,"About time, Charlie.",11/25/2017 ,11
,What time will it be on?,5/29/2017,11
,Not this time.,9/10/2017 ,11
,The last time it was lightning,5/9/2017 ,11
,Time for a round or two or three of golf.,1/31/2018 ,11
,Time for blankets?,10/24/2017 ,11
,it's about time!!,1/18/2018 ,11
,Most of these statues were placed by the same organization backed by KKK. DOTC. Around the same time well after the CW,8/16/2017 ,11
,About time!,6/24/2017 ,11
,what time please,5/29/2017,11
,"No, because most have had plenty of time to legalize and have chosen not to.",9/6/2017,11
,3rd time is a charm,6/16/2017 ,11
,About time!!!!,12/6/2017,11
,YAY!!!! About time,12/30/2017 ,11
,@Jungle_Jim123 bout time !!,10/6/2017 ,11
,"#daliadippolito STILL manipulating everyone, all the time, everywhere .....",6/16/2017 ,11
,what time was this?,6/22/2017 ,11
,@JSi5 correct all this time u were,12/21/2017,11
,Time to fly to Vegas!!,6/6/2017 ,11
,About time!,8/31/2017 ,11
,Time to reverse SB turnpike to NB,9/7/2017 ,11
,What time will it be on?,5/30/2017 ,11
,It's about time!!!,7/18/2017 ,11
https status com twitter atus st www tatus sta tus
,Own one of OJ's rarest #collectibles : https:// lelands.com/bids/bidplace? itemid=84280 … https:// twitter.com/NicoleOJMovie/ status/913061908403703808 …,10/1/2017 ,12
,Own one of OJ's rarest #collectibles : https:// lelands.com/bids/bidplace? itemid=84280 … https:// twitter.com/NicoleOJMovie/ status/913061908403703808 …,10/2/2017 ,12
,https:// twitter.com/palmbeachalert s/status/937508119571238912 …,12/3/2017 ,12
,https:// twitter.com/safely_n_swift _/status/890758899770560512 …,7/28/2017 ,12
,https:// twitter.com/safely_n_swift _/status/890758899770560512 …,7/28/2017 ,12
,https:// twitter.com/febone1960net/ status/939551071546068992 …,12/10/2017 ,12
,https:// twitter.com/indivisible_tp a/status/949396372381425664 …,1/11/2018 ,12
,https:// twitter.com/senbillnelson/ status/949659778569199616 …,1/11/2018 ,12
,https:// twitter.com/senbillnelson/ status/951198984843833344 …,1/11/2018 ,12
,https:// twitter.com/senbillnelson/ status/951194049477783552 …,1/11/2018 ,12
,https:// twitter.com/senbillnelson/ status/951102220820533249 …,1/11/2018 ,12
,https:// twitter.com/mviser/status/ 935264140100296704 …,11/28/2017,12
,https:// twitter.com/mviser/status/ 935264140100296704 …,11/28/2017,12
,https:// twitter.com/saletan/status /934618093317492736 …,11/26/2017 ,12
,https:// twitter.com/commondefense/ status/920689419119710208 …,10/18/2017 ,12
,https:// twitter.com/ukweatherlive/ status/906653837037068289 …,9/9/2017 ,12
,https:// twitter.com/MikeSpearsNBC6 /status/920435327843659776 …,10/17/2017 ,12
,https:// twitter.com/sarahkendzior/ status/920454895572045824 …,10/17/2017 ,12
,https:// twitter.com/OceanGrownTREE Z/status/918707831896805376 …,10/13/2017,12
,https:// twitter.com/jollydeltachrg r/status/901864933205278720 …,8/27/2017 ,12
,https:// twitter.com/theoptionoracl e/status/930988086510669824 …,11/15/2017 ,12
,https:// twitter.com/Safety_Canada/ status/883792903646179330 …,7/10/2017 ,12
,#JusticeforVets https:// twitter.com/refee00/status /880541478828728320 …,7/14/2017 ,12
,#irmaprep https:// twitter.com/kate_patterson 4/status/904851534432874497 …,9/5/2017,12
,https:// twitter.com/WellingMichael /status/862391533437419520 …,5/10/2017 ,12
,https:// twitter.com/usccb/status/9 06857300627001344 …,9/10/2017 ,12
,https:// twitter.com/OrlandoPolice/ status/928828168399654913 …,11/9/2017 ,12
,https:// twitter.com/Kanisha1Jackso n/status/920441116675145728 …,10/17/2017 ,12
,https:// twitter.com/jorgeggallarza /status/952630460605222912 …,1/14/2018 ,12
,https:// twitter.com/abc7/status/93 7850358952468480 …,12/5/2017 ,12
,https:// twitter.com/realdonaldtrum p/status/920611770775064576 … .,10/18/2017,12
,https:// twitter.com/Mark_EdwardsUS A/status/920750037940031488 …,10/18/2017 ,12
,https:// twitter.com/SocialNetwork6 6/status/899666440780951554 …,8/21/2017 ,12
,https:// twitter.com/CenterOnBudget /status/878021410509148160 …,6/22/2017 ,12
,https:// twitter.com/suzdick/status /907173764714176512 …,9/11/2017,12
,https:// twitter.com/ThisShrekRules /status/906956305784479746 …,9/10/2017 ,12
,https:// twitter.com/ClintonPhobic/ status/958047496550395905 …,1/29/2018 ,12
,https:// twitter.com/acluva/status/ 896386562484731904 …,8/18/2017 ,12
,https:// twitter.com/immigrant4trum p/status/898724374911434753 …,8/18/2017 ,12
,https:// twitter.com/RealKyleMorris /status/958543095729180674 …,1/31/2018,12
,https:// twitter.com/realDailyWire/ status/958326202900582400 …,1/30/2018,12
,https:// twitter.com/GartrellLinda/ status/955148321051508737 …,1/22/2018,12
,https:// twitter.com/RealJamesWoods /status/955278495319379968 …,1/22/2018,12
,https:// twitter.com/RealJamesWoods /status/955278495319379968 …,1/22/2018,12
,https:// twitter.com/President1Trum p/status/906948374057947138 …,9/10/2017 ,12
,https:// twitter.com/_belle_curve_/ status/930900286423658496 …,11/15/2017 ,12
,He was your guest! https:// twitter.com/thehill/status /958827005239324675 …,1/31/2018 ,12
,https:// twitter.com/lachlan/status /958758871153233921 …,1/31/2018 ,12
,https:// twitter.com/safely_n_swift _/status/890758899770560512 …,7/28/2017 ,12
,https:// twitter.com/CoralSpringsPD /status/865193413557313536 …,5/18/2017,12
,https:// twitter.com/AynRandPaulRya n/status/920629730000248833 …,10/18/2017,12
,Rep Wilson describes the call: https:// twitter.com/kanisha1jackso n/status/920441116675145728 …,10/17/2017 ,12
,https:// twitter.com/democracynow18 /status/958790098585255936 …,1/31/2018 ,12
,https:// twitter.com/EquippedBeliev r/status/865565407532462080 …,5/19/2017 ,12
,https:// twitter.com/GuaynaboCitize n/status/901881056349040641 …,8/27/2017 ,12
,https:// twitter.com/Hermetiailluce n/status/879130061370163200 …,6/25/2017 ,12
,https:// twitter.com/thehill/status /958792300393586688 …,1/31/2018 ,12
,https:// twitter.com/MalliardReport /status/939663277876969472 …,12/21/2017,12
,https:// twitter.com/thehill/status /958792300393586688 …,2/1/2018,12
,https:// twitter.com/LarryCh0031259 9/status/895409082118488064 …,9/25/2017 ,12
,https:// twitter.com/ap/status/8957 63440018575361 …,8/10/2017 ,12
,https:// twitter.com/betseystevenso n/status/925526515634319361 …,11/1/2017,12
,https:// twitter.com/jkfecke/status /925700744514342912 …,11/1/2017,12
,https:// twitter.com/floridapalate/ status/960015379849457665 …,2/4/2018,12
,https:// twitter.com/speea/status/9 22575143544676352 …,10/23/2017 ,12
,https:// twitter.com/inhalethisjay/ status/957069899775561728 …,1/29/2018 ,12
,https:// twitter.com/TheAaronColyer /status/912527449342214144 …,9/26/2017,12
,https:// twitter.com/LastNameAtlas/ status/894391054539124736 …,8/6/2017 ,12
,https:// twitter.com/incarceratedbo b/status/930482778860347398 …,11/14/2017 ,12
,https:// twitter.com/JamesOKeefeIII /status/879566389828308992 …,6/27/2017 ,12
,#DNCfraudLawsuit https:// twitter.com/dncfraudlawsui t/status/797515524154527744 …,5/28/2017,12
,https:// twitter.com/SamanthaMarksT V/status/914017682629984256 …,9/30/2017,12
,https:// twitter.com/defend_reality /status/887394253881651201 …,7/19/2017 ,12
,LMMFAO!!!!! #TB12 #GOAT https:// twitter.com/justamasshole/ status/828962560976289796 …,1/12/2018 ,12
,https:// twitter.com/ThePatriot143/ status/929743535439601664 …,11/13/2017 ,12
,https:// twitter.com/defend_reality /status/890322997952880640 …,7/26/2017 ,12
,https:// twitter.com/ColumbiaBugle/ status/955474119528660992 …,1/22/2018 ,12
,https:// twitter.com/DaDaBuh/status /915157540606025728 …,10/3/2017,12
,This was posted earlier... https:// twitter.com/AmericanHotLip s/status/944740673496010752 …,12/23/2017 ,12
,https:// twitter.com/aventurapolice /status/944728614528053248 …,12/23/2017 ,12
,Nevermind... https:// twitter.com/MountDoraBuzz/ status/922589114020622337 …,10/23/2017 ,12
,https:// twitter.com/brettclarkson_ /status/933467741083840518 …,11/22/2017 ,12
,https:// twitter.com/thee_chevious/ status/932695035807784960 …,11/24/2017 ,12
,Triste cuando gente tiene una agenda política @PuertoRico51st @WVEN_WVEA @prensafl @TelemundoORL https:// twitter.com/luisriveramari n/status/920065911280820225 …,2017-10-16 ,12
,@WVEN_WVEA @TelemundoORL https:// twitter.com/uscismediamiam i/status/913117979210125312 …,2017-09-28 ,12
,Hay que informar a los padres de familia @ceciliafigueroa @WVEN_WVEA @MiraTVOrlando @daliahlugo @VenezolanosMCO @NCPRR_CFL @NAlvarezWFTV https:// twitter.com/rcf1/status/86 9647663645544448 …,2017-05-31 ,12
,Hay q informar alos padres de familia @josemanuelcnn @WVEN_WVEA @Americateve @AlRojoVivo @NoticiasCaracol @MarilysLLT51 @ALMORAJ @SIETEDIAS https:// twitter.com/rcf1/status/86 9572775396225024 …,2017-05-31 ,12
,https:// twitter.com/truthfeednews/ status/935663617608839168 …,11/28/2017 ,12
,https:// twitter.com/theyoungturks/ status/934602619900661760 …,11/25/2017 ,12
,https:// twitter.com/willycastillo/ status/898807725500641280 …,8/19/2017 ,12
,https:// twitter.com/realDonaldTrum p/status/939006911629869056 …,12/8/2017 ,12
,https:// twitter.com/blysx/status/9 23955115345584128 …,10/27/2017 ,12
,https:// twitter.com/WFLADan/status /907005758084132864 …,9/10/2017 ,12
,https:// twitter.com/citizenservant /status/901868886957498369 …,8/28/2017 ,12
,https:// twitter.com/cherms/status/ 810928778595680256 …,9/10/2017 ,12
,https:// twitter.com/febone1960net/ status/939942290558193664 …,12/12/2017,12
,https:// twitter.com/febone1960net/ status/939551071546068992 …,12/11/2017,12
,https:// twitter.com/HollyAnderson/ status/936445577599922176 …,12/2/2017 ,12
,https:// twitter.com/jollydeltachrg r/status/901864933205278720 …,8/27/2017 ,12
,https:// twitter.com/NicoleOJMovie/ status/913061908403703808 …,9/29/2017 ,12
pic twitter com fox10news news6wkmg wctv today morning wlrn wjhg_tv
,pic.twitter.com/y473MyCS4j,11/15/2017 ,13
,TGIF! pic.twitter.com/1HYwnVlG1l,2/2/2018,13
,pic.twitter.com/L7b1KP01p7,12/23/2017 ,13
,pic.twitter.com/Q7sGg37pF7,1/16/2018 ,13
,pic.twitter.com/2Gz58xWzjw,1/11/2018 ,13
,pic.twitter.com/YJnRyjmevK,1/23/2018 ,13
,pic.twitter.com/fO7HbnxRAc,12/10/2017 ,13
,pic.twitter.com/3jPy7IHAER,8/20/2017 ,13
,pic.twitter.com/eZJSiLQS6t,12/5/2017 ,13
,pic.twitter.com/fNMCmuSVBF,12/5/2017 ,13
,pic.twitter.com/HukdRrh72K,12/5/2017 ,13
,pic.twitter.com/5gtmo6IzdY,12/5/2017 ,13
,pic.twitter.com/OAr684ITUT,11/15/2017 ,13
,pic.twitter.com/IctOZ0jAdF,1/21/2018,13
,pic.twitter.com/Lm7BEH5QY0,9/10/2017 ,13
,"Biology is not delusional, nor is being intersex particularly rare pic.twitter.com/BnjVlYZXkc",11/15/2017,13
,pic.twitter.com/Xn63QUluyd,12/16/2017 ,13
,pic.twitter.com/TSqNHCkaHA,12/17/2017,13
,pic.twitter.com/fz8RXBcjJZ,11/14/2017 ,13
,pic.twitter.com/tfwtlzOlwd,1/31/2018 ,13
,pic.twitter.com/vhTVLUr4CX,12/29/2017,13
,pic.twitter.com/D4vSuGpiAp,1/24/2018,13
,More tolerant liberals resisting pic.twitter.com/gtThIg0kCH,12/24/2017 ,13
,pic.twitter.com/vlvO03Zqmf,1/24/2018,13
,pic.twitter.com/9wk0rWlIdJ,7/7/2017,13
,pic.twitter.com/xUw4f32QJI,11/15/2017 ,13
,pic.twitter.com/dzHS4GL7QR,2/5/2018,13
,pic.twitter.com/3dGkirAEdO,12/13/2017,13
,pic.twitter.com/DEhzLqQlnI,5/21/2017 ,13
,pic.twitter.com/FvIX2QU7Vd,11/23/2017 ,13
,pic.twitter.com/LKQefikuS8,11/23/2017 ,13
,pic.twitter.com/Je1BCMNtmn,11/23/2017 ,13
,pic.twitter.com/vKz3yNQh0I,11/23/2017 ,13
,pic.twitter.com/LXOLuN9JGt,11/23/2017 ,13
,pic.twitter.com/KNqRAneFds,11/23/2017 ,13
,pic.twitter.com/TnjjM2i77T,11/23/2017 ,13
,pic.twitter.com/oVueQQTII9,11/23/2017 ,13
,pic.twitter.com/i7mlhtJ2Dx,11/23/2017 ,13
,pic.twitter.com/JArv8luEZv,11/23/2017 ,13
,pic.twitter.com/6Yczmhhewf,11/23/2017 ,13
,pic.twitter.com/7JxmurRFzP,11/23/2017 ,13
,pic.twitter.com/F5CgCGsRRU,11/23/2017 ,13
,pic.twitter.com/dGrba2YdWL,11/23/2017 ,13
,pic.twitter.com/TLa4HHtWG8,11/23/2017 ,13
,pic.twitter.com/S76CnZhHWT,11/23/2017 ,13
,pic.twitter.com/ZIvuCZMO64,11/23/2017 ,13
,pic.twitter.com/sxKNKP7Pwm,11/23/2017 ,13
,pic.twitter.com/yRc7PF22gZ,11/23/2017 ,13
,pic.twitter.com/lkGAXWEw5l,11/23/2017 ,13
,pic.twitter.com/PiqPKLB01P,12/24/2017,13
,pic.twitter.com/9TASMhZd7j,12/17/2017,13
,pic.twitter.com/6utu0hdnBW,10/5/2017 ,13
,pic.twitter.com/UNDGb2ZXAy,9/5/2017 ,13
,pic.twitter.com/nIm0sgQ1Sa,1/10/2018 ,13
,pic.twitter.com/zSj64b7IlZ,10/18/2017,13
,Here you go.. since your behind pic.twitter.com/qal0DKsSH9,12/7/2017 ,13
,pic.twitter.com/4tU6el3HzA,8/18/2017 ,13
,pic.twitter.com/GxXJw0Pjhg,8/9/2017 ,13
,pic.twitter.com/K3GU0nigp8,7/30/2017 ,13
,pic.twitter.com/DIzmjXsD2X,7/27/2017 ,13
,pic.twitter.com/y4lGnNDIF4,7/26/2017 ,13
,pic.twitter.com/nx3qp5IbPx,7/25/2017 ,13
,pic.twitter.com/YJ1KJx6DN6,7/21/2017 ,13
,pic.twitter.com/NSauaDrmRT,7/21/2017 ,13
,pic.twitter.com/e5cMORKOHX,12/10/2017,13
,pic.twitter.com/tbhNyx4XbL,12/4/2017 ,13
,pic.twitter.com/AzJkRHVTHK,1/24/2018,13
,pic.twitter.com/sMMpzJOL1c,1/4/2018 ,13
,pic.twitter.com/riYsPTEBlf,1/3/2018,13
,pic.twitter.com/7UdE8qeLeY,12/29/2017,13
,Ho Ho Ho!! pic.twitter.com/ntAVeKaEPj,12/22/2017,13
,pic.twitter.com/1XVY8lC0GO,11/30/2017 ,13
,pic.twitter.com/VTLg2lKT6Q,1/21/2018,13
,pic.twitter.com/42QBfVqCYN,12/22/2017 ,13
,cultural appropriation 101.......... pic.twitter.com/rKViNsDDvz,1/28/2018 ,13
,pic.twitter.com/pG8B4FX1FY,12/15/2017,13
,pic.twitter.com/HWfgRqySkG,11/23/2017,13
,pic.twitter.com/wq1p1obXMd,12/13/2017,13
,pic.twitter.com/ZuC2SOixFy,12/13/2017,13
,pic.twitter.com/ONFPMuWLYh,1/3/2018 ,13
,pic.twitter.com/8l6FglE2Zw,12/17/2017,13
,pic.twitter.com/e7WybqbWMC,10/29/2017 ,13
,pic.twitter.com/rCG5RgdZzu,10/27/2017 ,13
,pic.twitter.com/no7NjgpkNJ,10/19/2017 ,13
,Ooops! pic.twitter.com/mDorwXsioE,5/29/2017 ,13
,pic.twitter.com/JEMBfJMXKy,1/7/2018 ,13
,pic.twitter.com/ImfUChYxNv,1/28/2018,13
,pic.twitter.com/ITpQix3J7P,11/15/2017 ,13
,pic.twitter.com/0Yz2gOFpF1,1/3/2018 ,13
,pic.twitter.com/rIQQVNW3fL,12/24/2017 ,13
,As always... pic.twitter.com/MIfHMMonHV,2/4/2018 ,13
,pic.twitter.com/JIMvsVHfgQ,1/27/2018 ,13
,pic.twitter.com/IjBIyIMSeT,11/21/2017 ,13
,pic.twitter.com/4Q7utnlEpR,11/20/2017 ,13
,pic.twitter.com/X1TUggj4d5,5/24/2017 ,13
,pic.twitter.com/PSAOWDtK4y,8/6/2017 ,13
,pic.twitter.com/fP5ZJaFUdF,8/31/2017,13
,pic.twitter.com/ydFBouV2gr,11/10/2017 ,13
,pic.twitter.com/38r9pp5R1j,10/1/2017,13
,pic.twitter.com/skY14Uksfi,12/17/2017,13
weartv pensacola c3n morning nwfl flwx today rain tonight pnj
,Please tag @weartv,12/10/2017,14
,Dawgs @weartv,1/3/2018 ,14
,@weartv @hemantmehta @FFRF,6/23/2017,14
,@weartv,9/23/2017 ,14
,@weartv,9/9/2017 ,14
,@AshleyRuizWx @weartv We're Plummeting!!!,12/31/2017 ,14
,@weartv #foggy in Destin,12/19/2017 ,14
,@weartv LH is #1.,10/29/2017,14
,@weartv Why?,9/17/2017 ,14
,@weartv Who is asleep at the wheel?,8/21/2017,14
,We @weartv !,10/2/2017,14
,@weartv whats up with 98 in destin?,6/7/2017,14
,@weartv,1/17/2018 ,14
,. @weartv @JackalynKovac One out of five is receiving Medicaid. Why so many on the govt dole?,6/23/2017 ,14
,@weartv,1/11/2018 ,14
,@maynardsdoco @weartv @catcountry987 @NR1620,6/23/2017 ,14
,@wxkaitlin @weartv Well apparantly Amanda is not your brother!,12/8/2017 ,14
,@weartv @ABCPolitics Liberal celebrities are so hypocritical!,6/3/2017 ,14
,"@weartv If, if,if,if",5/16/2017 ,14
,@PnjBrian @weartv,5/4/2017 ,14
,Closing statements have begun. #ThompsonTrial @weartv,12/7/2017 ,14
,#MakeMeAngryIn5Words “where is your web script?” @weartv,11/9/2017 ,14
,. @VisitOWA still on track for mid-July opening @weartv,5/17/2017 ,14
,@weartv,1/12/2018 ,14
,@weartv @tv_leader,6/21/2017 ,14
,Howard frequented the apartment complex where #NaomiJones lived. @weartv,6/8/2017,14
,@weartv,5/29/2017 ,14
,@weartv @WSFA_Amanda @JoshWeather,8/21/2017 ,14
,@weartv,12/9/2017,14
,@weartv @routzen @pulsegulfcoast @mnelsongab_PNJ @WEARSueStraughn,12/6/2017 ,14
,@weartv bwahahahahah!!!!!,12/10/2017,14
,"@weartv @60Minutes and @cbs credibility, a bygone era.",5/31/2017,14
,Our market is fortunate to have you! #KeepOnSmilin @weartv #PCola,10/19/2017 ,14
,No @wxkaitlin on @weartv this AM? Bummer.,10/6/2017,14
,I Crown you Queen of WEARTV!,6/1/2017 ,14
,I may or may not be singing in the @weartv newsroom #myheartwillgoon,5/21/2017 ,14
,"@weartv . @SenatorBurr : Are you confident that no votes cast in the 2016 presidential election were altered?"" #Comey : ""I'm confident.""""",6/8/2017 ,14
,@weartv @WPNNTalk790 @navarrepress @NBACOC @nwfdailynews @srpressgazette @routzen @WEARSaul @washingtonpost @OANN,11/29/2017 ,14
,@weartv,9/13/2017 ,14
,@weartv,10/24/2017,14
,The Escambia Academy Cougars defeat the Bessemer Academy Rebels 34 to 28 #prepsnet #alpreps @aisaonline @eacougars @weartv @northescambia,10/27/2017 ,14
,@weartv Justin Gatlin investigated again for doping- that's how he wins,12/19/2017 ,14
,Beaudry picked off. That might do it. @UWFFootball @weartv #GOARGOS #D2fb,12/16/2017 ,14
,On 3rd down Perez hits Hooks for 46 yards to UWF 6. Crusher for Argos. @weartv @UWFFootball #GoArgos #D2FB,12/16/2017 ,14
,"After sack, UWF facing 3rd and 21. @weartv @UWFFootball #GoArgos #D2FB",12/16/2017 ,14
,"UWF can't take advantage of penalty, forced to punt again. @weartv @UWFFootball #GoArgos #D2FB",12/16/2017 ,14
,"UWF crosses midfield, but forced to punt. @weartv @UWFFootball #GoArgos #D2FB",12/16/2017 ,14
,"On 3rd down, Beaudry sacked, UWF punts. @weartv @UWFFootball #GoArgos #D2FB",12/16/2017 ,14
,"Beaudry overthrows receiver, picked off by Cooper. Commerce has it at UWF 37. @weartv @UWFFootball #GoArgos #D2FB",12/16/2017 ,14
,"3 & out for UWF offense, forced to punt. @weartv @UWFFootball #GoArgos #NCAAD2",12/16/2017 ,14
,"IUP punter drops snap, UWF has it at IUP 38. @weartv",12/9/2017 ,14
,Another 3 & out forced by @UWFFootball D. Momentum totally with Argos. @weartv,12/2/2017 ,14
,"Cavalry threatening in bot 6th, bases loaded, 1 out. @weartv",5/26/2017 ,14
,"Dropped 3rd strike, e on throw keeps inning alive. @SaderBaseball with bases loaded 2 out. @weartv",5/26/2017 ,14
,"Down 4-0 with no hits thru 5, @UWFSoftball has bases loaded none out in 6th. @weartv",5/19/2017 ,14
,"@WEARJared @weartv if opening a jar of pickles"" is a tiebreaker",11/13/2017,14
,@weartv Jasmine Anderson get your facts straight,8/16/2017 ,14
,@weartv @WaltonSun @nwfdailynews scroll up ^,6/23/2017,14
,Please tag @weartv,12/10/2017,14
,I'm with Kathryn...Smoooooth..on a sandwich w/jelly OR a jailbreak!!! @weartv @WEARKDaniel @WEARLauraHussey #peanutbutter,8/2/2017 ,14
,@WEARLauraHussey Yet another wake up w/no Laura on @weartv #wheresLaura,7/28/2017,14
,@weartv,10/24/2017,14
,@weartv @WaltonSun @nwfdailynews scroll up ^,6/23/2017,14
,@weartv,10/24/2017,14
,@weartv @WaltonSun @nwfdailynews scroll up ^,6/23/2017,14
,@weartv @WEARAllenStrum @wxkaitlin @WEARKDaniel @AshleyRuizWx #destin #miramarbeach #weartv pic.twitter.com/qhtPAiVb6w,9/27/2017 ,14
,"Ignore those Twitter ‘trolls’, Ashley! You’re an exceptional meteorologist. @weartv",10/16/2017 ,14
,. @weartv : #HurricaneNate tracker: http:// weartv.com/weather/hurric ane-tracker …,10/7/2017 ,14
,@weartv #MeToo https:// twitter.com/weartv/status/ 923673054672314368 …,10/26/2017 ,14
